,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,titleId,ordering_x,title,region,language,types,attributes,isOriginalTitle,Rank,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,Year,ordering_y,nconst,category,job,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,tt1179933,movie,10 Cloverfield Lane,10 Cloverfield Lane,0.0,2016.0,,103.0,"Action,Drama,Horror",tt1179933,19.0,10 Cloverfield Lane,US,,imdbDisplay,,0.0,44.0,-,-,-,"$72,082,998",3427,"$72,082,998",Mar 11,Paramount Pictures,False,2016.0,10.0,nm6618222,producer,producer,,Lindsey Weber,,,producer,"tt4530422,tt2660888,tt2548396,tt1179933"
1,tt4530422,movie,Overlord,Overlord,0.0,2018.0,,110.0,"Action,Horror,Sci-Fi",tt4530422,25.0,Overlord,US,,imdbDisplay,,0.0,109.0,-,-,-,"$21,704,844",2859,"$21,704,844",Nov 9,Paramount Pictures,False,2018.0,9.0,nm6618222,producer,producer,,Lindsey Weber,,,producer,"tt4530422,tt2660888,tt2548396,tt1179933"
2,tt1179933,movie,10 Cloverfield Lane,10 Cloverfield Lane,0.0,2016.0,,103.0,"Action,Drama,Horror",tt1179933,19.0,10 Cloverfield Lane,US,,imdbDisplay,,0.0,44.0,-,-,-,"$72,082,998",3427,"$72,082,998",Mar 11,Paramount Pictures,False,2016.0,1.0,nm0000422,actor,,"[""Howard""]",John Goodman,1952.0,,"actor,soundtrack,producer","tt0101410,tt1179933,tt1024648,tt1907668"
3,tt2406566,movie,Atomic Blonde,Atomic Blonde,0.0,2017.0,,115.0,"Action,Thriller",tt2406566,23.0,The Coldest City,US,,working,,0.0,52.0,-,-,-,"$51,687,870",3326,"$51,687,870",Jul 28,Focus Features,False,2017.0,3.0,nm0000422,actor,,"[""Emmett Kurzfeld""]",John Goodman,1952.0,,"actor,soundtrack,producer","tt0101410,tt1179933,tt1024648,tt1907668"
4,tt5968394,movie,Captive State,Captive State,0.0,2019.0,,109.0,"Action,Horror,Sci-Fi",tt5968394,14.0,Captive State,US,,imdbDisplay,,0.0,150.0,-,-,-,"$5,958,315",2549,"$5,958,315",Mar 15,Focus Features,False,2019.0,1.0,nm0000422,actor,,"[""William Mulligan""]",John Goodman,1952.0,,"actor,soundtrack,producer","tt0101410,tt1179933,tt1024648,tt1907668"
5,tt2279339,movie,Love the Coopers,Love the Coopers,0.0,2015.0,,107.0,"Comedy,Fantasy,Romance",tt2279339,13.0,Let It Snow,US,,working,,0.0,93.0,-,-,-,"$26,054,993",2603,"$26,302,731",Nov 13,Lionsgate,False,2015.0,3.0,nm0000422,actor,,"[""Sam""]",John Goodman,1952.0,,"actor,soundtrack,producer","tt0101410,tt1179933,tt1024648,tt1907668"
6,tt4572514,movie,Patriots Day,Patriots Day,0.0,2016.0,,133.0,"Action,Crime,Drama",tt4572514,13.0,Patriots Day,US,,imdbDisplay,,0.0,83.0,-,-,-,"$31,319,806",3120,"$31,886,361",Dec 21,Lionsgate,False,2017.0,4.0,nm0000422,actor,,"[""Commissioner Ed Davis""]",John Goodman,1952.0,,"actor,soundtrack,producer","tt0101410,tt1179933,tt1024648,tt1907668"
7,tt1179933,movie,10 Cloverfield Lane,10 Cloverfield Lane,0.0,2016.0,,103.0,"Action,Drama,Horror",tt1179933,19.0,10 Cloverfield Lane,US,,imdbDisplay,,0.0,44.0,-,-,-,"$72,082,998",3427,"$72,082,998",Mar 11,Paramount Pictures,False,2016.0,2.0,nm0935541,actress,,"[""Michelle""]",Mary Elizabeth Winstead,1984.0,,"actress,producer,soundtrack","tt1028528,tt1179933,tt0446029,tt7713068"
8,tt7713068,movie,Birds of Prey,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,0.0,2020.0,,109.0,"Action,Adventure,Comedy",tt7713068,17.0,Birds of Prey,US,,imdbDisplay,,0.0,6.0,-,-,-,"$84,158,461",4236,"$84,158,461",Feb 7,Warner Bros.,False,2020.0,3.0,nm0935541,actress,,"[""Helena Bertinelli"",""The Huntress""]",Mary Elizabeth Winstead,1984.0,,"actress,producer,soundtrack","tt1028528,tt1179933,tt0446029,tt7713068"
9,tt1025100,movie,Gemini Man,Gemini Man,0.0,2019.0,,117.0,"Action,Drama,Sci-Fi",tt1025100,17.0,Gemini Man,US,,imdbDisplay,,0.0,58.0,-,-,-,"$48,546,770",3642,"$48,546,770",Oct 11,Paramount Pictures,False,2019.0,2.0,nm0935541,actress,,"[""Danny Zakarewski""]",Mary Elizabeth Winstead,1984.0,,"actress,producer,soundtrack","tt1028528,tt1179933,tt0446029,tt7713068"
